STATE,2021,2020,2019,2018,2017,2016,2015,2014
Andaman & Nicobar Islands,386,482,564,706,638,802,862,746
Andhra Pradesh,179611,188997,119229,126635,132336,106774,110693,114604
Arunachal Pradesh,2626,2244,2590,2613,2565,2534,2968,2843
Assam,119883,111558,123512,112243,104324,102250,103616,94038
Bihar,186006,194698,197935,196911,180573,164163,169436,177595
Chandigarh,2401,2583,2819,3072,3240,2996,3248,3221
Chhattisgarh,70519,65216,61256,60178,58481,55029,56692,58200
Dadra & Nagar Haveli,282,213,226,255,266,244,269,277
Daman & Diu,208,228,322,319,367,271,302,233
NCT of Delhi,291904,249192,299475,249012,232066,209519,191377,155654
Goa,2099,3393,2465,2740,2965,2692,3074,4466
Gujarat,273056,381849,139503,147574,128775,147122,126935,131385
Haryana,112720,103276,111323,108212,97924,88527,84466,79947
Himachal Pradesh,13041,14803,14480,14604,13007,13386,14007,14160
Jammu & Kashmir,27447,25233,22404,24216,22432,24279,23326,23577
Jharkhand,47684,51033,50048,45287,44595,40710,45050,45335
Karnataka,115728,106350,120165,126534,146354,148402,138859,137338
Kerala,142643,149099,175810,186958,235846,260097,257074,206789
Ladakh,519,387,0,0,235,222,257,271
Lakshadweep,89,107,123,48,78,36,50,81
Madhya Pradesh,304066,283881,246470,248354,269512,264418,26814,272423
Maharashtra,367218,394017,341084,346291,288879,261714,275414,249834
Manipur,2484,2349,2830,2869,3416,3170,3847,3641
Meghalaya,2672,2871,3125,2921,3521,3366,4079,3679
Mizoram,2467,1787,2379,1774,2118,2425,2214,2140
Nagaland,1033,1022,1117,1223,1068,1376,1302,1157
Odisha,124956,108533,96033,83769,83583,81460,83352,74569
Puducherry,3851,6725,3167,3606,3883,4086,3440,3584
Punjab,46454,49870,44697,41640,39288,40007,37983,37162
Rajasthan,214552,193279,225306,171889,169941,180398,198080,210418
Sikkim ,532,504,632,620,9,809,766,1065
Tamil Nadu,322852,891700,168116,185912,178836,179896,187558,193200
Telangana,146131,135885,118338,113951,119858,100646,98895,99254
Tripura,4133,4010,5336,5325,3918,3933,4692,5499
Uttar Pradesh,357905,355110,353131,342355,310084,282171,241920,240475
Uttarakhand,15704,13812,12081,14739,12889,10867,10248,9156
West Bengal,157498,158060,157610,157610,163999,118252,122585,124863
